Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sent,Spreadsheet: sent_1,Spreadsheet: word_1,Spreadsheet: card_1,Spreadsheet: card_2,Spreadsheet: corr_1,Spreadsheet: cons,Spreadsheet: vowel,Spreadsheet: target,Manipulation: Spreadsheet,Store: response 1,Store: response 2,Store: Score,Store: Total_q,Store: Score_total
43,1.71141E+12,25/03/2024 22:16:54,1.71139E+12,-4,25/03/2024 14:16:54,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,8,Trials_blk1,Screen 3,2d6z4v,2,info,audio finished,105.79999995231628,99.90000000000146,105.79999995231628,105.79999995231628,99.90000000000146,105.79999995231628,1,105.79999995231628,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Peg has a tot that said ___,ki_150_sent.mp3,ki_150_word.mp3,kib,kip,kib,k,i,1,,,,50,,
44,1.71141E+12,25/03/2024 22:16:55,1.71139E+12,-4,25/03/2024 14:16:55,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,8,Trials_blk1,Screen 3,2d6z4v,2,continue,,565.7000000000007,565.7000000000007,565.7000000000007,565.7000000000007,565.7000000000007,565.7000000000007,1,565.7000000000007,0,0,,Fixation Timing,Fixation,1,object-45,Trials_blk1,Peg has a tot that said ___,ki_150_sent.mp3,ki_150_word.mp3,kib,kip,kib,k,i,1,,,,50,,
45,1.71141E+12,25/03/2024 22:16:55,1.71139E+12,-4,25/03/2024 14:16:55,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,9,Trials_blk1,Screen 1,rvjw9l,1,response,pap,398.2999999999993,384.2999999999993,398.2999999999993,398.2999999999993,384.2999999999993,398.2999999999993,1,398.2999999999993,0,0,,Click Response,Card1,7,object-20,Trials_blk1,Kip has a toad named ___,pa_25_sent.mp3,pa_25_word.mp3,pap,pab,pap,p,a,1,,,,56,,
46,1.71141E+12,25/03/2024 22:16:55,1.71139E+12,-4,25/03/2024 14:16:55,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,9,Trials_blk1,Screen 1,rvjw9l,1,continue,,400.09999995231556,384.2999999999993,400.09999995231556,400.09999995231556,384.2999999999993,400.09999995231556,0,400.09999995231556,0,0,,Click To Continue,Card1,7,object-20,Trials_blk1,Kip has a toad named ___,pa_25_sent.mp3,pa_25_word.mp3,pap,pab,pap,p,a,1,,,,56,,
47,1.71141E+12,25/03/2024 22:16:55,1.71139E+12,-4,25/03/2024 14:16:55,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,9,Trials_blk1,Screen 3,2d6z4v,2,info,audio started,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Kip has a toad named ___,pa_25_sent.mp3,pa_25_word.mp3,pap,pab,pap,p,a,1,,,,56,,
48,1.71141E+12,25/03/2024 22:16:55,1.71139E+12,-4,25/03/2024 14:16:55,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,9,Trials_blk1,Screen 3,2d6z4v,2,info,audio finished,119.59999990463257,116.70000000000073,119.59999990463257,119.59999990463257,116.70000000000073,119.59999990463257,1,119.59999990463257,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Kip has a toad named ___,pa_25_sent.mp3,pa_25_word.mp3,pap,pab,pap,p,a,1,,,,56,,
49,1.71141E+12,25/03/2024 22:16:56,1.71139E+12,-4,25/03/2024 14:16:56,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,9,Trials_blk1,Screen 3,2d6z4v,2,continue,,566.5999999999985,566.5999999999985,566.5999999999985,566.5999999999985,566.5999999999985,566.5999999999985,1,566.5999999999985,0,0,,Fixation Timing,Fixation,1,object-45,Trials_blk1,Kip has a toad named ___,pa_25_sent.mp3,pa_25_word.mp3,pap,pab,pap,p,a,1,,,,56,,
50,1.71141E+12,25/03/2024 22:16:56,1.71139E+12,-4,25/03/2024 14:16:56,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,10,Trials_blk1,Screen 1,rvjw9l,1,response,pap,350.19999995231774,349.1000000000022,350.19999995231774,350.19999995231774,349.1000000000022,350.19999995231774,0,350.19999995231774,0,0,,Click Response,Card2,6,object-19,Trials_blk1,Kip has a toad named ___,pa_125_sent.mp3,pa_125_word.mp3,pab,pap,pab,p,a,1,,,,50,,
51,1.71141E+12,25/03/2024 22:16:56,1.71139E+12,-4,25/03/2024 14:16:56,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,10,Trials_blk1,Screen 1,rvjw9l,1,continue,,357.4999999,349.1000000000022,357.4999999,357.4999999,349.1000000000022,357.4999999,0,357.4999999,0,0,,Click To Continue,Card2,6,object-19,Trials_blk1,Kip has a toad named ___,pa_125_sent.mp3,pa_125_word.mp3,pab,pap,pab,p,a,1,,,,50,,
52,1.71141E+12,25/03/2024 22:16:56,1.71139E+12,-4,25/03/2024 14:16:56,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,10,Trials_blk1,Screen 3,2d6z4v,2,info,audio started,9.799999999999272,0,9.799999999999272,9.799999999999272,0,9.799999999999272,1,9.799999999999272,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Kip has a toad named ___,pa_125_sent.mp3,pa_125_word.mp3,pab,pap,pab,p,a,1,,,,50,,
